animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
21001,Dekakute Ecchi na Ore no Ane,OVA,Visual novel,1,Rx - Hentai,7.1,2216,0,4739,6225,51,None,None,[]
21009,Sekai de Ichiban Tsuyoku Naritai! Specials,Special,Unknown,6,R+ - Mild Nudity,5.82,2085,8121,5149,5040,4,None,Arms,"['Action', 'Ecchi', 'Sports']"
21013,Marvel Disk Wars: The Avengers,TV,Unknown,51,PG - Children,6.04,1040,7538,5003,5451,12,Spring 2014,Toei Animation,"['Action', 'Kids', 'Super Power']"
21019,Nunbori,TV,Unknown,26,PG - Children,6.57,14,12099,13464,115,1,Fall 2009,Daewon Media,"['Fantasy', 'Kids']"
21021,Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,Movie,Unknown,1,G - All Ages,5.85,13,11216,11842,210,0,None,None,[]
21025,Chang,Movie,Unknown,1,R - 17+ (violence & profanity),5.47,45,10375,10407,413,0,None,None,[]
21027,Saibi,Movie,Original,1,R - 17+ (violence & profanity),6.9,705,3995,6552,2732,11,None,None,[]
21031,Precure All Stars Movie New Stage 3: Eien no Tomodachi,Movie,Original,1,G - All Ages,7.43,970,1918,6912,2332,2,None,Toei Animation,"['Kids', 'Magic', 'Shoujo']"
21033,Seikoku no Dragonar,TV,Light novel,12,R+ - Mild Nudity,6.7,62742,4880,755,125065,206,Spring 2014,C-Station,"['Comedy', 'Ecchi', 'Fantasy', 'School']"
21037,Uchuu Icchokusen,Movie,Unknown,1,G - All Ages,5.45,42,13137,10292,437,2,None,None,[]
21039,Gatchaman Crowds Insight,TV,Original,12,PG-13 - Teens 13 or older,7.38,19436,2130,1554,54228,163,Summer 2015,Tatsunoko Production,"['Adventure', 'Sci-Fi']"
21041,Follow Me,Music,Unknown,1,G - All Ages,6.35,1103,6388,7606,1695,0,None,None,[]
21053,Ikemen Kyuugo-tai Nurse Angels,TV,Unknown,10,PG-13 - Teens 13 or older,5.0,17,11118,12320,174,0,Spring 2013,None,[]
21055,Mission School,Music,Unknown,1,G - All Ages,5.64,234,8529,10433,409,1,None,None,[]
21059,Oppai Infinity∞! The Animation,OVA,Manga,1,Rx - Hentai,6.56,993,0,6418,2892,9,None,Office Takeout,['Hentai']
21065,Yakusoku (ONA),ONA,Original,1,G - All Ages,6.76,544,4617,8881,913,0,None,None,[]
21067,Strange+,TV,Manga,12,PG-13 - Teens 13 or older,6.06,10222,7486,2526,24846,15,Winter 2014,Seven,"['Slice of Life', 'Comedy', 'Josei']"
21069,Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,OVA,Manga,1,Rx - Hentai,6.97,2217,0,5073,5248,19,None,None,[]
21073,Puchimas!!: Petit Petit iDOLM@STER,ONA,4-koma manga,74,PG-13 - Teens 13 or older,7.28,2751,2539,4580,6735,17,None,Gathering,"['Comedy', 'Slice of Life']"
21075,Hetalia: The Beautiful World Extra Disc,OVA,Web manga,1,PG-13 - Teens 13 or older,7.58,2720,1424,4570,6774,15,None,Studio Deen,"['Comedy', 'Historical', 'Parody']"
21077,Kakumeiki Valvrave Recaps,ONA,Unknown,3,R - 17+ (violence & profanity),6.34,650,6429,6791,2451,1,None,Sunrise,"['Action', 'Mecha']"
21081,Yu Bang Xiang Zheng,Movie,Unknown,1,G - All Ages,5.79,182,8192,10457,402,0,None,None,[]
21085,Witch Craft Works,TV,Manga,12,PG-13 - Teens 13 or older,7.19,78092,2902,575,157733,416,Winter 2014,J.C.Staff,"['Action', 'Fantasy', 'Magic', 'Seinen', 'Supernatural']"
21089,Lost Forest,Music,Unknown,1,G - All Ages,5.44,282,8920,9942,521,0,None,David Production,['Music']
21097,Oni Chichi: Rebuild,OVA,Visual novel,3,Rx - Hentai,7.54,7114,0,3219,15594,96,None,PoRO,['Hentai']
21099,Kenji no Trunk,Movie,Unknown,1,PG - Children,5.8,20,11372,12021,194,0,None,None,[]
